Status,Station Name,Observation Date,Latitude,Longitude,Water Type,pH,Nitrate,Nitrite,Hardness,Chlorine,Alkalinity,Other Observations
,Soquel Creek,2022-05-01,36.98678,-121.95571,Stream,6.5,20,0.1,20,0,200,
,San Lorenzo River,2022-05-01,36.96588,-122.01302,River,7.2,0,0,300,1,180,There was algae/moss in the San Lorenzo River
,Moran lake ,2022-04-30,36.95694,-121.97672,Lake,8.3,0,0,200,0,80,
,Corcoran Lagoon,2022-04-30,36.96107,-121.98226,Rainwater,7.5,0,0,300,0,80,
,San Lorenzo River,2022-04-30,36.9865,-121.95516,River,7,35,0.6,22,0.4,240,
,womp womp,2022-04-28,36.98834,-121.94497,Tap Water,8.4,0,0,0,0,180,filtered
,Soquel Creek,2022-04-28,36.98678,-121.95571,Stream,6.8,0,0,75,0,180,
,Soquel Creek,2022-04-28,36.98678,-121.95571,River,7.8,0,0,150,0,300,"River moving pretty slowly, a little algae"
,Twin Lakes ,2022-04-28,36.9675,-121.998,Lake,6.8,0,0.5,75,0.5,80,smelled terrible 
,Creek near Lynda's house ,2022-04-28,36.96412,-121.97057,Stream,6.2,0,0,15,0,80,near sewers 
,Schwan Lake,2022-04-28,36.96639,-121.99437,Lake,6.2,0,0,75,0,100,"Smelled very bad, and it had very tall grass all around"
,Schwan Lake,2022-04-28,36.96639,-121.99437,Lake,6.2,0,0,75,0.5,40,
,Residential Stream,2022-04-28,36.96412,-121.97057,Stream,6.2,0,0,75,0,40,
,Tiny stream,2022-04-28,36.96412,-121.97057,Stream,6.8,0,0,75,0,80,Looked very dirty
,Soquel Creek ,2022-04-28,36.98678,-121.95571,Stream,6.2,0,0,150,0,300,a little bit of algae in the water 
,"Lake Holly North, VA, USA",2022-04-27,36.840037,-75.977546,Lake,6.8,0,0,300,0,40,
,room 223,2022-04-27,36.98,-121.95,Tap Water,7.8,0,0,150,0,180,water is considered hard water
,Tap Water,2022-04-26,36.96541,-121.9685,Tap Water,7.2,0,0,150,0,80,
,Creek,2022-04-26,36.98626,-121.96531,Stream,7.1,0.08,0.09,12,4,210,
,Puddle,2022-04-26,36.98727,-121.96293,Rainwater,5.3,4.5,0.12,4,0.3,150,
,Hose Water,2022-04-26,36.98727,-121.96293,Tap Water,7.2,10,1,65,3,130,
,"house
",2022-04-26,36.98727,-121.96293,Tap Water,7.5,10,1,68,4,110,
,Foxs Pond,2022-04-18,40.907113,-74.516358,Pond,6.2,0,0,75,0.5,80,"Animals live in pond (fish, geese, swans)"
,Rockaway River,2022-04-18,40.920546,-74.491411,River,6.2,0,0,75,0,80,Trash in the river
,43 Woodside,2022-04-18,40.908392,-74.515164,Tap Water,7.2,0,0,300,0,120,
,Sogo,2022-04-17,40.88951,-74.469477,Tap Water,6.8,20,0,300,0,120,
,Torrington,2022-04-16,41.812675,-73.118759,Stream,6,10,2,0,0,100,
,"Windsor, CT",2022-04-13,40.435533,-63.837183,Tap Water,6.2,0,0,0,0,40,
,Morris Hills High School,2022-04-12,40.88986,-74.52899,Tap Water,6.8,20,0,300,0,120,
,Amber ,2022-04-10,41.927697,-73.054537,Tap Water,6.2,0,0,0,0,0,
,Connecticut,2022-04-09,35.395548,-80.921663,Tap Water,6.2,0,0,25,0,120,
,Connecticut,2022-04-09,35.395548,-80.921663,Tap Water,6.2,0,0,25,0,120,
,Connecticut,2022-04-09,35.395548,-80.921663,Tap Water,6.2,0,0,25,0,120,
,"Southington, Connecticut",2022-04-09,41.597869,-72.867421,Well,6.8,20,0.5,75,0,120,
,Falls Village,2022-04-09,41.981603,-73.366365,Tap Water,6.2,0,0,0,0,40,
,Site 608,2022-04-09,41.841318,-73.146386,Well,6.8,0,0,75,0,120,
,Site 608,2022-04-08,41.841318,-73.146386,Well,6.8,0,0,75,0,120,
,House,2022-04-07,36.97063,-121.96587,Tap Water,7.2,0,0,150,0,80,
,Home,2022-04-07,41.87945,-72.98023,Well,6.2,20,1,75,0,80,
,Site 391,2022-04-07,41.808703,-73.068241,Tap Water,6.8,10,0,0,5,20,
,Site 391,2022-04-07,41.808703,-73.068241,Tap Water,,,,,0,0,
,Residential water supply in Carona,2022-04-07,15.57843,73.877292,Tap Water,6.8,0,0.5,0,0,20,
,Connecticut,2022-04-06,35.395548,-80.921663,Tap Water,6.2,0,0,0,0,40,
,Home,2022-04-05,41.599817,-72.988762,Well,6.8,20,0,75,0,120,
,Canterbury Court,2022-04-05,41.86573,-73.078821,Tap Water,6.2,0,0,0,0,180,
,Boise River Monitoring Site 1,2022-03-22,43.594214,-116.173874,River,6.5,20,1,25,1,40,The river looked very muddy this day after recent rains
,Site 643,2022-03-09,39.425876,-77.444778,Pond,1,1,1,1,1,1,Test
,Site 674,2022-03-08,41.78552,-73.075945,Tap Water,6.2,0,0,25,0,40,
,0,2022-03-04,41.585236,-72.758291,Tap Water,7.8,20,0,75,0,120,
,Site 451,2022-03-03,41.823969,-73.081317,Lake,6,0,0.5,75,0,40,
,Mjeidel,2022-02-20,33.521742,35.438748,Stream,,,,,,,
,Site 445,2022-02-04,41.756262,-73.030042,Tap Water,6.2,20,0,0,0,40,
,Site 444,2022-02-04,41.941416,-72.957868,Tap Water,6.2,0,0,0,0,0,
,Site 443,2022-02-04,41.941416,-72.957868,Tap Water,6.2,0,0,0,0,0,
,Site 442,2022-02-04,41.542626,-73.00273,Tap Water,6.2,0,0,0,0,40,
,Site 441,2022-02-04,41.892493,-73.322165,Tap Water,6.2,0,0,0,0,40,
,Site 440,2022-02-04,41.646155,-72.370892,Tap Water,6.2,0,0,0,0.5,0,
,Site 439,2022-02-04,41.756473,-73.217626,Well,7.8,20,1,25,0,180,
,Site 438,2022-02-04,41.393799,-73.470539,Tap Water,6.8,0,0,75,0,80,
,Site 437,2022-02-04,41.811459,-73.115759,Tap Water,6.8,0,0,25,0.5,40,
,Site 436,2022-02-04,41.811459,-73.115759,Tap Water,6.8,0,0,25,0.5,40,
,Site 435,2022-02-04,41.710536,-72.207535,Stormwater,6.8,0,1,150,0,80,It is mostly clear water collected during the rain storm today on 2/4/2022.
,Site 434,2022-02-04,41.805159,-73.132904,Tap Water,6.2,0,0,25,0,40,
,Site 433,2022-02-04,41.464832,-72.81681,Tap Water,6.2,20,0,25,0,40,
,Site 448,2022-02-03,41.805396,-73.095046,Well,7.2,20,0,150,0,120,
,Site 447,2022-02-03,41.810737,-73.004409,Tap Water,7.8,20,0,75,0,80,
,Site 446,2022-02-03,41.80382,-73.147292,Tap Water,6.2,0,0,0,0,40,
,Site 450,2022-02-02,41.809659,-72.927142,Tap Water,6.2,0,0,0,0,0,
,Site 449,2022-02-02,41.866036,-73.06799,Tap Water,6.2,0,0,0,0.5,40,
,Site 451,2022-02-01,41.823969,-73.081317,Tap Water,8.4,0,0,0,0,40,
,Site 452,2022-02-01,41.64548,-72.792254,Tap Water,6.2,0,0,25,0,80,
,Site 453,2022-01-29,47.539787,-122.162352,Tap Water,6.2,0,0,0,0,0,Streams in the area are frequently labeled with caution signs stating not to drink the water as it contains metals from and off-site source.
,Site 469,2022-01-26,39.659105,-79.990954,River,7.8,20,0.5,75,2,0,
,Site 468,2022-01-26,39.659105,-79.990954,River,7.8,20,0.5,75,2,0,
,Site 467,2022-01-26,39.666748,-79.956924,Tap Water,6.8,0,0,300,4,0,
,Site 466,2022-01-26,40.698648,-89.626342,Tap Water,7.2,200,0,25,4,40,
,Site 465,2022-01-26,39.573664,-78.061084,Tap Water,6.2,0,1,300,0,0,
,Site 464,2022-01-26,47.733833,-121.972455,Stream,7.8,0,10,75,6,0,standing water from a mostly dried up steam
,Site 463,2022-01-26,47.734129,-121.972895,Tap Water,6.8,0,0,75,4,0,
,Site 462,2022-01-26,33.224783,-86.836744,Tap Water,7.8,20,3,75,6,0,
,Site 461,2022-01-26,33.224669,-86.836748,Tap Water,7.8,0,5,25,4,40,
,Site 460,2022-01-26,39.452627,-82.92508,Tap Water,7.2,0,0,0,4,300,
,Site 459,2022-01-26,39.563041,-82.781693,Stream,7.8,0,0,300,4,120,
,Site 458,2022-01-26,33.230394,-86.821964,Stream,8.4,0,0,300,4,300,buck creek trail alabaster AL 35007
,Site 457,2022-01-26,33.189138,-86.837328,Pond,7.8,0,0,75,4,40,
,Site 456,2022-01-26,33.104072,-86.87536,Lake,6.8,0,0,300,4,0,
,Site 455,2022-01-26,33.483206,-86.707209,River,7.2,0,0,0,6,0,
,Site 454,2022-01-26,32.353583,-90.202482,Tap Water,7.8,0,0,75,4,0,Powell middle  school
,Site 471,2022-01-24,10.31347,77.52014,River,6.8,0,0,75,0.5,80,This test was taken in a river that runs through a rich patch of forest (a planted forest with some indigenous species in the mix). Elephants in the area have been known to pass through often. The river passes through Kodaikanal (a popular hill-station in the South of India) before it reaches the spot where we took this particular test.
,Site 470,2022-01-24,10.32218,77.52441,River,7.8,0,0,25,0.5,120,
,Site 476,2022-01-21,32.353454,-90.202488,Runoff,7.8,0,0,75,4,0,
,Site 475,2022-01-21,32.344905,-89.818643,Runoff,7.8,0,0,75,4,0,Water was dried up almost
,Site 474,2022-01-21,32.353742,-90.202639,Tap Water,7.2,0,0,75,0.5,80,
,Site 473,2022-01-21,32.353394,-90.202384,Tap Water,7.2,20,0.5,75,0.5,80,
,Site 472,2022-01-21,32.353742,-90.202639,Runoff,8.4,0,0.5,150,0.5,300,
,Site 478,2021-11-25,47.45211,-121.7088,Tap Water,6.8,0,0,25,0,80,
,Site 480,2021-11-23,47.33,-122.58,Tap Water,7.2,0,0,25,0,80,
,Site 479,2021-11-23,47.3378,-122.5935,Stream,6.8,0,0,25,0,40,
,Site 483,2021-11-05,44.868903,-93.139772,Pond,7.2,0,0,75,0,80,
,Site 482,2021-11-05,44.867572,-93.13282,Pond,6.8,0,0,75,0,40,
,Site 481,2021-11-05,44.868614,-93.132845,Tap Water,6.2,0,0,25,0,40,Filitered city water within a school drinking fountain
,Site 484,2021-10-26,41.684385,-72.772955,Tap Water,7.2,0,0.5,150,2,120,
,Site 490,2021-10-14,41.81628,-73.12143,Tap Water,6.2,40,1,0,0,180,
,Site 489,2021-10-14,41.81628,-73.12143,Tap Water,6.2,40,1,0,0,180,
,Site 488,2021-10-14,41.882177,-73.475166,Tap Water,7.2,40,3,150,0,120,
,Site 486,2021-10-14,41.290011,-72.93511,Tap Water,6.2,0,0,0,0,0,
,Site 499,2021-10-13,41.766093,-73.030042,Well,6.2,40,3,25,0,120,
,Site 498,2021-10-13,41.995256,-73.191161,Tap Water,6.2,0,0,0,0,0,
,Site 497,2021-10-13,41.612863,-72.885955,Well,7.2,0,0,0,0,180,
,Site 494,2021-10-13,41.799915,-73.085871,Well,6.2,20,0,25,0,0,
,Site 493,2021-10-13,41.797438,-73.161121,Tap Water,6.2,0,0,0,0,40,
,Site 492,2021-10-13,41.797438,-73.161121,Tap Water,6.2,0,0,0,0,40,
,Site 491,2021-10-13,41.932286,-73.052855,Tap Water,7.2,40,1,75,0.5,80,
,Site 505,2021-10-12,41.759539,-73.148006,Tap Water,6.8,20,0,75,0,180,
,Site 503,2021-10-12,41.816056,-73.155115,Tap Water,6.8,40,1,25,0,180,
,Site 502,2021-10-12,41.753669,-72.876953,Tap Water,6.8,20,0,25,0,80,
,Site 501,2021-10-12,41.753915,-72.877186,Tap Water,6.8,20,0,25,0,80,
,Site 500,2021-10-12,41.980726,-73.159672,Well,6.8,0,0,25,0,40,"Well Water, Norfolk CT"
,Site 511,2021-10-11,41.876663,-72.981419,Tap Water,6.2,40,0.5,0,0,40,
,Site 510,2021-10-11,41.778156,-72.949529,Well,6.2,0,0,25,0,40,
,Site 509,2021-10-11,41.778156,-72.949529,Well,6.2,0,0,25,0,40,
,Site 508,2021-10-11,41.852203,-73.619259,Stream,8.4,20,0,300,0,300,
,Site 507,2021-10-11,42.002123,-73.222096,Well,6.2,0,0,25,0,0,
,Site 506,2021-10-11,41.759539,-73.148006,Well,6.8,20,0,75,0,180,
,Site 516,2021-10-08,41.795227,-73.124104,Tap Water,6.2,160,10,0,0,120,
,Site 515,2021-10-08,41.985377,-73.424766,Tap Water,6.2,0,0,0,0,40,
,Site 514,2021-10-08,41.984099,-73.42268,Tap Water,6.2,0,0,0,0,40,
,Site 513,2021-10-08,41.815498,-73.128022,Tap Water,6.2,0,0,25,0,0,"one edge of Total alkalinity mark was turning green 
one edge of pH mark was becoming higher in pH 6.8"
,Site 518,2021-10-07,41.948587,-72.862584,Well,6.8,0,0,25,0,120,
,Site 521,2021-09-29,41.818505,-73.122249,Tap Water,6.2,0,0,0,0,0,
,Site 520,2021-09-29,41.804903,-73.115397,Tap Water,6.2,0,0,0,0,0,N/A
,Site 519,2021-09-29,17.922719,73.763902,Rainwater,6.8,0,0,75,0,80,
,Site 522,2021-09-28,41.652092,-73.178636,Tap Water,7.2,0,0,0,0,120,
,Site 523,2021-09-25,42.011609,-73.350341,Tap Water,6.8,0,0,75,0,120,
,Site 526,2021-09-24,41.93241,-73.051024,Tap Water,6.2,0,1,0,0,80,
,Site 525,2021-09-24,38.801605,-76.930424,Tap Water,6.2,0,0,0,0,0,
,Site 531,2021-09-22,42.02259,-72.843084,Pond,6.8,0,0,25,0,40,
,Site 530,2021-09-22,41.856601,-73.617818,Stream,8.4,20,0,300,0,300,"The water stream passes under the bridge near the zoo.
It was also a gloomy day around 70 degrees out. Alec E. "
,Site 529,2021-09-22,41.567108,-73.462884,Well,7.2,0,0,75,0,120,
,Site 528,2021-09-22,41.818359,-73.106169,Tap Water,7.2,20,0,150,0,120,
,Site 527,2021-09-22,41.340554,-73.301899,Tap Water,6.2,20,0,150,0,80,Its from my tap water.
,Site 536,2021-09-21,41.920928,-73.05934,Tap Water,6.8,0,0,150,0,120,
,Site 535,2021-09-21,41.863073,-73.075092,Tap Water,6.2,0,0,0,0,0,
,Site 534,2021-09-21,41.874289,-73.030589,Tap Water,7.2,0,0,0,0,180,
,Site 533,2021-09-21,41.687793,-73.051787,Tap Water,6.2,0,0,0,0,0,
,Site 532,2021-09-21,41.797841,-73.107368,Well,7.8,20,0,300,0,180,
,Site 541,2021-09-20,41.848033,-73.12509,River,6.2,0,0,0,0,0,We have had a lot of rain this summer so water levels were high.  Also the water was really clear throughout the area.
,Site 540,2021-09-20,41.808762,-73.099391,Tap Water,6.2,0,0,0,0,40,"Water from our refrigerator, that gets water from our home (tap water)"
,Site 539,2021-09-20,41.855453,-73.618184,Stream,8.4,20,0,300,1,300,
,Site 538,2021-09-20,41.858708,-73.081493,Tap Water,6.2,0,0,75,0.5,80,I gather the water from my weld water through the faucet
,Site 537,2021-09-20,41.810183,-73.106423,Tap Water,6.8,0,0,0,0,0,
,Site 543,2021-09-19,41.989266,-73.362416,Tap Water,7.2,0,0,150,0,180,
,Site 544,2021-09-18,42.038469,-73.336851,Tap Water,8.4,0,0,150,0,300,no other than we have town water. We have hard water which does leave a residue on our appliances and stuff
,Site 547,2021-09-17,41.854699,-73.617969,Stream,8.4,20,0,150,0,120,Stream came downstream of a zoo
,Site 546,2021-09-17,41.753682,-72.744352,Tap Water,6.2,20,0.5,0,0,0,
,Site 545,2021-09-17,41.753681,-72.74435,Tap Water,6.2,20,1,0,0.5,80,
,Site 558,2021-09-14,38.697529,-87.513832,Tap Water,6.2,20,0,300,0,180,
,Site 557,2021-09-14,38.667071,-87.522211,Tap Water,7.8,20,0,300,0,180,
,Site 556,2021-09-14,38.676842,-87.51899,Tap Water,7.2,20,0,300,0,180,
,Site 555,2021-09-14,38.728379,-87.501663,Stream,8.4,20,0,300,0,300,
,Site 554,2021-09-14,38.730937,-87.501166,Stream,8.4,20,0,300,0,180,
,Site 553,2021-09-14,38.729084,-87.506417,River,8.4,0,0,300,1,180,
,Site 552,2021-09-14,38.66463,-87.521057,Pond,8.4,0,0,150,0.5,180,
,Site 551,2021-09-14,38.679241,-87.535683,River,7.8,0,0,300,1,180,
,Site 550,2021-09-14,38.689061,-87.503061,Stream,7.8,20,0,150,0.5,300,
,Site 549,2021-09-14,38.685185,-87.504242,Tap Water,7.8,20,0,150,0,180,
,Site 548,2021-09-14,38.697355,-87.475526,Pond,7.8,0,0,150,1,80,
,Site 567,2021-09-13,38.685852,-87.47686,Tap Water,7.2,20,0,150,0,180,
,Site 566,2021-09-13,38.717121,-87.505547,Well,7.2,20,0,300,0,300,
,Site 565,2021-09-13,38.644657,-87.508074,Tap Water,7.2,20,0.5,150,0,180,
,Site 564,2021-09-13,38.691215,-87.48633,Tap Water,7.2,20,0,300,0,120,
,Site 563,2021-09-13,38.691235,-87.465197,Tap Water,6.8,0,0,0,0,120,
,Site 562,2021-09-13,38.680252,-87.535394,River,7.2,0,0.5,75,0.5,80,
,Site 561,2021-09-13,38.669179,-87.415978,Tap Water,8.4,20,0,75,0,300,
,Site 560,2021-09-13,38.670694,-87.531024,Tap Water,6.8,20,0,150,0.5,180,
,Site 559,2021-09-13,38.617747,-87.353948,Tap Water,6.8,20,0,75,0,120,
,Site 574,2021-09-12,38.670595,-87.510892,Stream,8.4,0,0,300,0,180,
,Site 573,2021-09-12,38.668563,-87.510004,Pond,8.4,0,0,0,1,0,
,Site 572,2021-09-12,38.662875,-87.47963,Tap Water,6.2,20,0,25,0,40,
,Site 571,2021-09-12,38.688736,-87.513561,Tap Water,7.8,20,0,300,0,180,
,Site 570,2021-09-12,38.67361,-87.523584,Tap Water,8.4,20,0,150,0,180,
,Site 569,2021-09-12,38.693431,-87.519614,River,7.8,20,0.5,150,0.5,180,
,Site 568,2021-09-12,38.682186,-87.501448,Tap Water,7.8,20,0,75,0,180,
,Site 579,2021-09-11,41.792433,-73.125118,Tap Water,6.2,0,0,0,0,0,
,Site 578,2021-09-11,38.655937,-87.554744,Pond,8.4,0,0,25,0,40,
,Site 577,2021-09-11,38.656547,-87.554302,Tap Water,8.4,0,0,0,0,180,
,Site 576,2021-09-11,38.676249,-87.644565,Tap Water,6.2,40,0,75,0,0,
,Site 575,2021-09-11,38.650126,-87.4916,Tap Water,7.8,0,0,150,0.5,300,
,Site 580,2021-08-30,38.672345,-87.499148,Tap Water,7.8,20,0,150,0,180,
,Site 581,2021-08-21,48.081977,-122.833764,Tap Water,7.8,0,0,300,0,300,
,Site 582,2021-07-27,26.461059,-81.962927,River,7.8,0,0,300,0,180,Bay Area off Estero Island
,Site 583,2021-07-26,25.870813,-81.38372,River,8.4,0,0,300,0,300,
,Site 131,2021-07-01,32.944995,-80.107852,Pond,6.8,0,0,25,0,40,"Neighborhood, Geese and frogs in pond"
,Site 584,2021-07-01,32.944995,-80.107852,Pond,6.8,0,0,25,0,40,"Neighborhood, Geese and frogs in pond"
,Site 122,2021-06-30,32.508668,-80.319413,Pond,7.2,0,0,75,1,80,
,Site 132,2021-06-30,32.983433,-80.257564,Runoff,8.4,0,0,150,0,120,
,Site 586,2021-06-30,32.508668,-80.319413,Pond,7.2,0,0,75,1,80,
,Site 585,2021-06-30,32.983433,-80.257564,Runoff,8.4,0,0,150,0,120,
,Site 123,2021-06-29,32.717586,-79.971014,Pond,8.4,0,0,25,0.5,0,
,Site 124,2021-06-29,32.720784,-79.974937,Pond,6.2,0,0,25,0.5,40,
,Site 125,2021-06-29,32.727718,-79.93887,Pond,6.8,0,0,25,0,40,Man-made pond in a residential area off of a main road.
,Site 128,2021-06-29,32.733059,-79.988934,Pond,7.2,0,0,150,0,120,"Flat area with only grass cover nearby, there were some fish jumping and dogs were playing nearby."
,Site 129,2021-06-29,32.73486,-79.945046,Pond,6.8,0,0,300,0,120,Man-made pond with a small fountain. The entire area was surrounded by trees.
,Site 130,2021-06-29,32.799631,-79.956114,Pond,7.8,0,0,25,1,40,
,Site 592,2021-06-29,32.799631,-79.956114,Pond,7.8,0,0,25,1,40,
,Site 591,2021-06-29,32.720784,-79.974937,Pond,6.2,0,0,25,0.5,40,
,Site 590,2021-06-29,32.717586,-79.971014,Pond,8.4,0,0,25,0.5,0,
,Site 589,2021-06-29,32.727718,-79.93887,Pond,6.8,0,0,25,0,40,Man-made pond in a residential area off of a main road.
,Site 588,2021-06-29,32.73486,-79.945046,Pond,6.8,0,0,300,0,120,Man-made pond with a small fountain. The entire area was surrounded by trees.
,Site 587,2021-06-29,32.733059,-79.988934,Pond,7.2,0,0,150,0,120,"Flat area with only grass cover nearby, there were some fish jumping and dogs were playing nearby."
,Site 133,2021-06-28,33.835375,-78.89664,Pond,6.2,0,0,25,0,40,"Collected on 6/26 at 19:15
Drainage pond in residential development"
,Site 593,2021-06-28,33.835375,-78.89664,Pond,6.2,0,0,25,0,40,Collected on 6/26 at 19:15. Drainage pond in residential development
,Site 155,2021-06-25,34.434444,-80.862114,Lake,6.2,0,0,25,0,0,
,Site 594,2021-06-25,34.434444,-80.862114,Lake,6.2,0,0,25,0,0,
,Site 416,2021-06-14,47.537172,-121.868393,Tap Water,6.8,0,0,25,0,80,
,Site 595,2021-06-14,47.537172,-121.868393,Tap Water,6.8,0,0,25,0,80,
,Site 102,2021-05-22,28.046385,-82.482996,Pond,6.2,0,0.5,75,0,0,
,Site 103,2021-05-22,28.250813,-82.282647,Tap Water,6.8,20,0,300,0,120,
,Site 597,2021-05-22,28.046385,-82.482996,Pond,6.2,0,0.5,75,0,0,
,Site 596,2021-05-22,28.250813,-82.282647,Tap Water,6.8,20,0,300,0,120,
,Site 370,2021-05-18,41.353726,-73.007333,Pond,6.2,0,0,75,0,80,
,Site 598,2021-05-18,41.353726,-73.007333,Pond,6.2,0,0,75,0,80,
,Site 368,2021-05-11,41.202463,-90.120037,Tap Water,8.4,0,0.5,75,0,180,
,Site 599,2021-05-11,41.202463,-90.120037,Tap Water,8.4,0,0.5,75,0,180,
,Site 273,2021-05-09,37.060075,-94.529248,Pond,7.2,0,0.5,75,1,180,"Had tadpoles, plants and some trash."
,Site 600,2021-05-09,37.060075,-94.529248,Pond,7.2,0,0.5,75,1,180,"Had tadpoles, plants and some trash."
,Site 257,2021-05-07,37.025688,-94.488663,Rainwater,7.8,0,0,300,0.5,180,"brown, leaf filled water 
sprinkling when test taken"
,Site 267,2021-05-07,37.034586,-94.526982,Stream,7.2,20,0,75,0,80,high running water
,Site 283,2021-05-07,37.122529,-94.580715,River,7.8,0,0.5,150,0,180,"Several different plant species, some algae, and surprisingly clear water for its location under a low bridge."
,Site 603,2021-05-07,37.034586,-94.526982,Stream,7.2,20,0,75,0,80,high running water
,Site 602,2021-05-07,37.122529,-94.580715,River,7.8,0,0.5,150,0,180,"Several different plant species, some algae, and surprisingly clear water for its location under a low bridge."
,Site 601,2021-05-07,37.025688,-94.488663,Rainwater,7.8,0,0,300,0.5,180,"brown, leaf filled water. sprinkling when test taken"
,Site 253,2021-05-06,37.016198,-94.530549,River,7.8,20,0,300,1,180,
,Site 263,2021-05-06,37.032545,-94.54153,River,7.8,0,0,150,1,120,It is a water fall. It rained two days ago.
,Site 266,2021-05-06,37.034546,-94.527621,Stream,6.8,20,0,25,0.5,80,the current was pretty strong on the water
,Site 269,2021-05-06,37.037211,-94.530479,River,7.8,20,0,300,0.5,180,
,Site 272,2021-05-06,37.048516,-94.554746,Pond,6.8,0,0,25,0.5,40,in a residential neighborhood
,Site 274,2021-05-06,37.063174,-94.530833,Pond,7.8,0,0,300,1,80,
,Site 275,2021-05-06,37.0632,-94.5308,Pond,6.8,0,0,75,0,80,
,Site 277,2021-05-06,37.067963,-94.50947,Pond,6.2,0,0,75,0,80,
,Site 279,2021-05-06,37.091968,-94.465229,Stream,7.8,0,0,300,1,120,It was a super clean stream. There was no trash but there was a lot build up of branches because of the rain the last couple of weeks
,Site 280,2021-05-06,37.095422,-94.46546,Pond,7.2,0,0,300,0.5,180,
,Site 281,2021-05-06,37.104696,-94.498151,River,6.8,0,0,300,0,180,"Water is moving, it is fairly clean, and water has a hint of green tint."
,Site 282,2021-05-06,37.11084,-94.505995,Pond,6.2,0,0,0,0.5,40,The Pond was covered with lily pads and overgrown plants. It also had an abundance of tadpoles and other animals surrounding the water.
,Site 284,2021-05-06,37.134662,-94.463765,Pond,7.8,0,0,300,0,180,
,Site 617,2021-05-06,37.067963,-94.50947,Pond,6.2,0,0,75,0,80,
,Site 616,2021-05-06,37.0632,-94.5308,Pond,6.8,0,0,75,0,80,
,Site 614,2021-05-06,37.091968,-94.465229,Stream,7.8,0,0,300,1,120,It was a super clean stream. There was no trash but there was a lot build up of branches because of the rain the last couple of weeks
,Site 613,2021-05-06,37.034546,-94.527621,Stream,6.8,20,0,25,0.5,80,the current was pretty strong on the water
,Site 612,2021-05-06,37.037211,-94.530479,River,7.8,20,0,300,0.5,180,
,Site 611,2021-05-06,37.134662,-94.463765,Pond,7.8,0,0,300,0,180,
,Site 610,2021-05-06,37.063174,-94.530833,Pond,7.8,0,0,300,1,80,
,Site 609,2021-05-06,37.095422,-94.46546,Pond,7.2,0,0,300,0.5,180,
,Site 608,2021-05-06,37.11084,-94.505995,Pond,6.2,0,0,0,0.5,40,The Pond was covered with lily pads and overgrown plants. It also had an abundance of tadpoles and other animals surrounding the water.
,Site 607,2021-05-06,37.016198,-94.530549,River,7.8,20,0,300,1,180,
,Site 606,2021-05-06,37.048516,-94.554746,Pond,6.8,0,0,25,0.5,40,in a residential neighborhood
,Site 605,2021-05-06,37.032545,-94.54153,River,7.8,0,0,150,1,120,It is a water fall. It rained two days ago.
,Site 604,2021-05-06,37.104696,-94.498151,River,6.8,0,0,300,0,180,"Water is moving, it is fairly clean, and water has a hint of green tint."
,Site 264,2021-05-05,37.03395,-94.52758,Stream,6.8,20,0,150,0,120,
,Site 268,2021-05-05,37.036945,-94.532093,River,7.8,0,0.5,75,0,180,
